,pres,year,numWords
0,Washington,1790,0
1,Washington,1791,2314
2,Washington,1792,2104
3,Washington,1793,1973
4,Washington,1794,2918
5,Washington,1795,1988
6,Washington,1796,2878
7,Adams,1797,2060
8,Adams,1798,2218
9,Adams,1799,1505
10,Adams,1800,1374
11,Jefferson,1801,3226
12,Jefferson,1802,2209
13,Jefferson,1803,2283
14,Jefferson,1804,2108
15,Jefferson,1805,2951
16,Jefferson,1806,2872
17,Jefferson,1807,2399
18,Jefferson,1808,2695
19,Madison,1809,1833
20,Madison,1810,2453
21,Madison,1811,2278
22,Madison,1812,3256
23,Madison,1813,3266
24,Madison,1814,2120
25,Madison,1815,3159
26,Madison,1816,3373
27,Monroe,1817,4444
28,Monroe,1818,4384
29,Monroe,1819,4717
30,Monroe,1820,3467
31,Monroe,1821,5859
32,Monroe,1822,4764
33,Monroe,1823,6431
34,Monroe,1824,8446
35,Adams,1825,9091
36,Adams,1826,7852
37,Adams,1827,7064
38,Adams,1828,7398
39,Jackson,1829,10575
40,Jackson,1830,15125
41,Jackson,1831,7215
42,Jackson,1832,7909
43,Jackson,1833,7933
44,Jackson,1834,13518
45,Jackson,1835,10856
46,Jackson,1836,12439
47,Buren,1837,11516
48,Buren,1838,11561
49,Buren,1839,13495
50,Buren,1840,9022
51,Tyler,1841,8295
52,Tyler,1842,8474
53,Tyler,1843,8074
54,Tyler,1844,9349
55,Polk,1845,16217
56,Polk,1846,18348
57,Polk,1847,16568
58,Polk,1848,21510
59,Taylor,1849,7666
60,Fillmore,1850,8373
61,Fillmore,1851,13412
62,Fillmore,1852,10014
63,Pierce,1853,9678
64,Pierce,1854,10213
65,Pierce,1855,11672
66,Pierce,1856,10567
67,Buchanan,1857,13775
68,Buchanan,1858,16505
69,Buchanan,1859,12513
70,Buchanan,1860,14145
71,Lincoln,1861,7052
72,Lincoln,1862,8553
73,Lincoln,1863,6221
74,Lincoln,1864,6121
75,Johnson,1865,9294
76,Johnson,1866,7238
77,Johnson,1867,12131
78,Johnson,1868,10050
79,Grant,1869,7793
80,Grant,1870,8850
81,Grant,1871,6486
82,Grant,1872,4015
83,Grant,1873,10159
84,Grant,1874,9260
85,Grant,1875,12327
86,Grant,1876,6863
87,Hayes,1877,8132
88,Hayes,1878,8040
89,Hayes,1879,11801
90,Hayes,1880,6744
91,Arthur,1881,3903
92,Arthur,1882,3157
93,Arthur,1883,3954
94,Arthur,1884,9112
95,Cleveland,1885,19979
96,Cleveland,1886,15374
97,Cleveland,1887,5365
98,Cleveland,1888,9147
99,Harrison,1889,13145
100,Harrison,1890,11678
101,Harrison,1891,16539
102,Harrison,1892,14113
103,Cleveland,1893,12683
104,Cleveland,1894,16372
105,Cleveland,1895,14870
106,Cleveland,1896,15903
107,McKinley,1897,12225
108,McKinley,1898,20533
109,McKinley,1899,15321
110,McKinley,1900,19476
111,Roosevelt,1901,19746
112,Roosevelt,1902,9837
113,Roosevelt,1903,15059
114,Roosevelt,1904,17559
115,Roosevelt,1905,25168
116,Roosevelt,1906,23725
117,Roosevelt,1907,27584
118,Roosevelt,1908,19572
119,Taft,1909,13985
120,Taft,1910,6965
121,Taft,1911,23968
122,Taft,1912,25411
123,Wilson,1913,3567
124,Wilson,1914,4552
125,Wilson,1915,7774
126,Wilson,1916,2127
127,Wilson,1917,3936
128,Wilson,1918,5498
129,Wilson,1919,4775
130,Wilson,1920,2744
131,Harding,1921,5662
132,Harding,1922,5789
133,Coolidge,1923,6745
134,Coolidge,1924,7020
135,Coolidge,1925,10955
136,Coolidge,1926,10406
137,Coolidge,1927,8880
138,Coolidge,1928,8162
139,Hoover,1929,11194
140,Hoover,1930,4631
141,Hoover,1931,5768
142,Hoover,1932,4316
143,Roosevelt,1934,2235
144,Roosevelt,1935,3536
145,Roosevelt,1936,3840
146,Roosevelt,1937,2746
147,Roosevelt,1938,4731
148,Roosevelt,1939,3789
149,Roosevelt,1940,3219
150,Roosevelt,1941,3337
151,Roosevelt,1942,3545
152,Roosevelt,1943,4631
153,Roosevelt,1944,3849
154,Roosevelt,1945,8282
155,Truman,1946,28099
156,Truman,1947,6102
157,Truman,1948,5154
158,Truman,1949,3421
159,Truman,1950,5164
160,Truman,1951,4022
161,Truman,1952,5403
162,Truman,1953,9771
163,Eisenhower,1954,6061
164,Eisenhower,1955,7322
165,Eisenhower,1956,8340
166,Eisenhower,1957,4177
167,Eisenhower,1958,4969
168,Eisenhower,1959,4930
169,Eisenhower,1960,5703
170,Eisenhower,1961,6298
171,Kennedy,1962,6653
172,Kennedy,1963,5447
173,Johnson,1964,3239
174,Johnson,1965,4450
175,Johnson,1966,5347
176,Johnson,1967,7243
177,Johnson,1968,4981
178,Johnson,1969,4162
179,Nixon,1970,4496
180,Nixon,1971,4549
181,Nixon,1972,4017
182,Nixon,1973,1680
183,Nixon,1974,5210
184,Ford,1975,4175
185,Ford,1976,5033
186,Ford,1977,4700
187,Carter,1978,4642
188,Carter,1979,3306
189,Carter,1980,3466
190,Carter,1981,34177
191,Reagan,1982,5326
192,Reagan,1983,5720
193,Reagan,1984,5098
194,Reagan,1985,4351
195,Reagan,1986,3601
196,Reagan,1987,3928
197,Reagan,1988,5007
198,Bush,1989,4917
199,Bush,1990,3880
200,Bush,1991,3878
201,Bush,1992,4855
202,Clinton,1993,7127
203,Clinton,1994,7570
204,Clinton,1995,9437
205,Clinton,1996,6412
206,Clinton,1997,6876
207,Clinton,1998,7458
208,Clinton,1999,7637
209,Clinton,2000,7600
210,Bush,2001,4394
211,Bush,2002,3875
212,Bush,2003,5448
213,Bush,2004,5241
214,Bush,2005,5113
215,Bush,2006,5362
216,Bush,2007,5649
217,Bush,2008,5785
218,Obama,2009,6021
219,Obama,2010,7252
220,Obama,2011,7117
221,Obama,2012,7204
222,Obama,2013,6607
223,Obama,2014,7017
224,Obama,2015,6961
225,Obama,2016,5628
226,Trump,2017,5095
227,Trump,2018,5204
